#,datetime_BKK,direction,type,qty,balance,refType,note
140,15/06/2569 22:05:36,OUT,ADJUST,-1,0,ITEM_QTY,
141,15/06/2569 22:07:17,IN,IN,50,50,MANUAL,แก้ขัด
142,15/06/2569 22:07:35,OUT,ADJUST,-1,49,ITEM_QTY,
143,15/06/2569 22:07:37,OUT,ADJUST,-1,48,ITEM_QTY,
144,15/06/2569 22:16:47,OUT,ADJUST,-1,47,ITEM_QTY,
145,15/06/2569 22:16:47,OUT,ADJUST,-2,45,ITEM_QTY,
146,15/06/2569 22:28:50,OUT,ADJUST,-1,44,ITEM_QTY,
147,15/06/2569 22:28:51,OUT,ADJUST,-1,43,ITEM_QTY,
148,15/06/2569 22:28:54,OUT,ADJUST,-1,42,ITEM_QTY,
149,15/06/2569 22:28:58,OUT,ADJUST,-1,41,ITEM_QTY,
150,15/06/2569 22:29:01,OUT,ADJUST,-1,40,ITEM_QTY,
151,15/06/2569 22:29:04,OUT,ADJUST,-1,39,ITEM_QTY,
152,15/06/2569 22:29:08,OUT,ADJUST,-1,38,ITEM_QTY,
153,15/06/2569 22:29:11,OUT,ADJUST,-1,37,ITEM_QTY,
154,15/06/2569 22:29:14,OUT,ADJUST,-1,36,ITEM_QTY,
155,15/06/2569 22:29:17,OUT,ADJUST,-1,35,ITEM_QTY,
156,15/06/2569 22:29:21,OUT,ADJUST,-1,34,ITEM_QTY,
157,15/06/2569 22:29:23,OUT,ADJUST,-1,33,ITEM_QTY,
158,15/06/2569 22:36:07,OUT,SALE,-2,31,QUICK_SALE,
159,15/06/2569 22:37:40,OUT,ADJUST,-1,30,ITEM_QTY,
160,15/06/2569 22:37:42,OUT,ADJUST,-1,29,ITEM_QTY,
161,15/06/2569 22:43:54,OUT,SALE,-4,25,QUICK_SALE,
162,15/06/2569 22:55:26,OUT,SALE,-2,23,QUICK_SALE,
163,15/06/2569 22:57:50,OUT,ADJUST,-1,22,ITEM_QTY,
164,15/06/2569 22:57:51,OUT,ADJUST,-2,20,ITEM_QTY,
165,15/06/2569 22:57:52,OUT,ADJUST,-1,19,ITEM_QTY,
166,15/06/2569 22:57:56,OUT,ADJUST,-1,18,ITEM_QTY,
167,15/06/2569 22:57:57,OUT,ADJUST,-2,16,ITEM_QTY,
168,15/06/2569 22:57:58,OUT,ADJUST,-1,15,ITEM_QTY,
169,15/06/2569 22:58:00,OUT,ADJUST,-1,14,ITEM_QTY,
170,15/06/2569 22:58:07,OUT,ADJUST,-1,13,ITEM_QTY,
171,15/06/2569 22:58:09,OUT,ADJUST,-1,12,ITEM_QTY,
172,15/06/2569 22:58:12,OUT,ADJUST,-1,11,ITEM_QTY,
173,15/06/2569 23:09:49,OUT,SALE,-5,6,QUICK_SALE,
174,15/06/2569 23:28:56,OUT,ADJUST,-1,5,ITEM_QTY,
175,15/06/2569 23:28:58,OUT,ADJUST,-1,4,ITEM_QTY,
